0
000
000 100
000 20
000 40
000 70
000 mark
10
10 13
10 booklet
10 means
100
100 000
100 pt
12
12 consecutive
12 months
1216
1216 married
13
13 years
14
14 17
17
17 years
18
18 family
18 years
1948
1948 1952
1948 1992
1948 coming
1948 did
1948 does
1948 election
1948 elections
1948 head
1948 registered
1948 remember
1948 voted
1952
1952 1954
1952 1956
1952 1958
1952 1960
1952 1962
1952 1964
1952 1970
1952 1972
1952 1976
1952 1980
1952 1988
1952 1998
1952 brought
1952 following
1952 head
1952 intro
1952 mainly
1952 married
1952 think
1952 yes
1954
1954 head
1956
1956 1960
1956 1970
1956 1984
1956 2004
1956 later
1956 like
1956 radio
1956 television
1958
1958 1960
1958 1962
1958 1964
1958 1968
1958 1972
1958 2nd
1958 children
1958 did
1958 negroes
1958 state
1958 sure
1960
1960 1962
1960 1964
1960 1968
1960 1972
1960 1976
1960 1980
1960 1988
1960 children
1960 did
1960 election
1960 introduction
1960 negroes
1960 party
1960 personally
1960 remember
1960 think
1962
1962 1958
1962 1966
1962 1982
1962 1998
1962 children
1962 did
1962 different
1962 like
1962 mean
1962 party
1962 religious
1962 statement
1962 tell
1962 things
1962 years
1964
1964 1966
1964 1968
1964 1970
1964 1972
1964 1976
1964 1986
1964 1998
1964 chances
1964 children
1964 church
1964 democrats
1964 did
1964 exactly
1964 form
1964 know
1964 later
1964 like
1964 list
1964 little
1964 looking
1964 occupation
1964 think
1964 voted
1966
1966 1968
1966 1970
1966 1972
1966 1974
1966 1988
1966 children
1966 colored
1966 happen
1966 later
1966 paying
1966 people
1966 personally
1966 time
1968
1968 1948
1968 1970
1968 1972
1968 1976
1968 1980
1968 1982
1968 ask
1968 campaign
1968 children
1968 different
1968 general
1968 happen
1968 know
1968 negroes
1968 party
1968 political
1968 protestant
1968 say
1968 think
1968 year
1970
1970 1972
1970 1974
1970 1976
1970 1978
1970 1984
1970 1988
1970 allowed
1970 brought
1970 county
1970 did
1970 employed
1970 expected
1970 following
1970 friends
1970 gotten
1970 grade
1970 head
1970 high
1970 income
1970 interviewer
1970 know
1970 later
1970 negro
1970 negroes
1970 neighborhood
1970 people
1970 presently
1970 quite
1970 religious
1970 talk
1970 type
1970 vote
1970 years
1972
1972 1974
1972 1976
1972 1978
1972 1982
1972 1988
1972 1990
1972 asked
1972 bigger
1972 campaign
1972 card
1972 county
1972 different
1972 election
1972 grades
1972 haven
1972 helpful
1972 interested
1972 intro
1972 later
1972 like
1972 little
1972 mr
1972 party
1972 primary
1972 regard
1972 respondent
1972 think
1972 usually
1972 yes
1974
1974 1976
1974 1978
1974 congress
1974 did
1974 family
1974 going
1974 kind
1974 later
1974 lot
1974 reads
1976
1976 1952
1976 1980
1976 1992
1976 aside
1976 asked
1976 brought
1976 card
1976 chicanos
1976 college
1976 county
1976 date
1976 did
1976 does
1976 effort
1976 election
1976 favor
1976 going
1976 highest
1976 housewife
1976 interviewer
1976 later
1976 national
1976 newspapers
1976 past
1976 possible
1976 questions
1976 respondent
1976 say
1976 statements
1976 subject
1976 think
1976 vote
1976 voted
1976 yes
1976ff
1976ff year
1978
1978 1972
1978 1980
1978 1982
1978 1984
1978 1986
1978 1996
1978 1998
1978 cases
1978 did
1978 father
1978 interviewer
1978 later
1978 like
1978 possible
1978 suppose
1980
1980 1982
1980 1984
1980 1986
1980 1988
1980 1992
1980 1996
1980 2004
1980 average
1980 called
1980 children
1980 interview
1980 later
1980 let
1980 like
1980 means
1980 people
1980 read
1980 registered
1980 state
1980 states
1980 yes
1982
1982 1984
1982 1988
1982 1992
1982 apart
1982 chances
1982 country
1982 did
1982 doing
1982 fund
1982 hours
1982 jimmy
1982 know
1982 looking
1982 month
1982 political
1982 pretty
1982 questions
1982 say
1982 uses
1982 working
1982 years
1984
1984 1984
1984 1986
1984 1988
1984 1990
1984 1992
1984 1994
1984 1998
1984 2002
1984 anti
1984 assistance
1984 city
1984 college
1984 does
1984 gotten
1984 happen
1984 highest
1984 kind
1984 know
1984 later
1984 main
1984 necessary
1984 people
1984 personal
1984 powerful
1984 questions
1984 telephone
1984 women
1984 yes
1986
1986 1988
1986 1990
1986 1996
1986 2008
1986 apart
1986 clear
1986 form
1986 hours
1986 important
1986 interested
1986 interviewer
1986 know
1986 later
1986 like
1986 married
1986 national
1986 tell
1986 voting
1986 year
1986 yes
1988
1988 1984
1988 1990
1988 1992
1988 1994
1988 1996
1988 1998
1988 2002
1988 2004
1988 2008
1988 consider
1988 does
1988 form
1988 haven
1988 hispanics
1988 homeless
1988 later
1988 looking
1988 minorities
1988 people
1988 place
1988 radio
1988 religious
1988 say
1988 space
1988 state
1990
1990 1992
1990 1994
1990 1996
1990 did
1990 fighting
1990 government
1990 growing
1990 just
1990 later
1990 opponents
1990 people
1990 space
1990 yes
1991
1991 taxes
1991 tell
1992
1992 1994
1992 1996
1992 1998
1992 2000
1992 2002
1992 2004
1992 2012
1992 ask
1992 california
1992 compared
1992 dk
1992 don
1992 going
1992 hispanic
1992 important
1992 interview
1992 later
1992 like
1992 ll
1992 long
1992 looking
1992 nation
1992 national
1992 opinion
1992 page
1992 police
1992 powerful
1992 senate
1992 short
1992 state
1992 statements
1992 stepfather
1992 stepmother
1992 think
1992 united
1992 yes
1994
1994 1996
1994 2008
1994 company
1994 feel
1994 hispanics
1994 increased
1994 later
1994 medical
1994 news
1994 past
1994 people
1994 protection
1994 think
1996
1996 1960
1996 1998
1996 2000
1996 2004
1996 company
1996 difference
1996 election
1996 going
1996 government
1996 kansas
1996 know
1996 later
1996 medical
1996 plans
1996 poor
1996 possible
1996 solving
1996 suppose
1996 using
1996 women
1998
1998 2000
1998 2002
1998 2004
1998 congress
1998 following
1998 increased
1998 interviewer
1998 page
1998 personal
1998 respondent
1998 telephone
1998 think
1999
1999 taxes
1st
1st mention
20
20 000
20 hours
20 years
2000
2000 2002
2000 2004
2000 2008
2000 2012
2000 agree
2000 al
2000 dk
2000 expect
2000 face
2000 ftf
2000 going
2000 happen
2000 later
2000 nation
2000 national
2000 party
2000 personal
2000 say
2000 telephone
2000 think
2000 united
2000 version
2000 views
2002
2002 1988
2002 2004
2002 agree
2002 aid
2002 aids
2002 attends
2002 ballot
2002 community
2002 current
2002 does
2002 environmental
2002 fresh
2002 government
2002 hear
2002 like
2002 people
2002 religious
2002 say
2002 spouse
2002 time
2002 topic
2002 version
2002 version2
2002 voted
2002 worried
2002 year
2003
2004
2004 1978
2004 2000
2004 2004
2004 2008
2004 access
